Empresa,Empresa Limpa,Categoria,Pergunta,Nota,Observações
Con Amor,Con Amor,14,Participa de eventos ou ações de visibilidade local/setorial relevantes?,2,"Depende das agendas, esta atenta ao que esta contecendo e participa quando consegui definir agenda, por isso procurou o Sebrae para estar mais próximo do que esta contecendo no setor. "
Con Amor,Con Amor,15,"Trabalha o storytelling da marca (história, propósito, origem) na comunicação?",2,"Não tem uma historia estruturada na gastronomia, não conta muito sobre. Esta elaborando isso com a nova pessoa que vai cuidar do seu marketing. Ficou com o tema de casa de elaborar junto com o chatgpt."
Con Amor,Con Amor,16,"Possui material institucional (cardápio, embalagens) bem apresentado e alinhado à marca?",1,"Elabora material de acordo com cliente, não tem uma material estruturado de apresentação.  "
Con Amor,Con Amor,17,"Avalia o retorno das ações de marketing (comentários, avaliações online/offline)?",1,Hoje não faz nenhuma ação. 
Con Amor,Con Amor,18,A empresa mantém perfis ativos e estratégicos nas redes sociais relevantes?,3,"Não é estruturado, mas mantém seu perfil do instagram atualizado, é seu principal material de apresentaçã no momento.  "
Con Amor,Con Amor,19,"Há produção frequente e diversificada de conteúdo de qualidade (stories, reels, fotos, vídeos)?",2,"No momento nada de forma estrutura, contratou uma pessoa para apoia-la nas produções. "
Con Amor,Con Amor,20,Há um responsável (interno/externo) com expertise gerenciando as redes sociais?,1,
Con Amor,Con Amor,21,Tem um calendário editorial ou planejamento de conteúdo?,1,
Con Amor,Con Amor,22,Está atento e adapta conteúdos virais/tendências relevantes para a marca?,1,
Con Amor,Con Amor,23,"Interage com o público (comentários, directs) de forma rápida e personalizada?",1,
Con Amor,Con Amor,24,Utiliza ferramentas e tem habilidade para edição de imagem e vídeo de qualidade?,1,
Con Amor,Con Amor,25,Tem estratégia e investimento em impulsionamento/tráfego pago?,1,
Con Amor,Con Amor,26,Trabalha com influenciadores ou parceiros digitais de forma estratégica?,1,
Con Amor,Con Amor,27,"Oferece links de fácil acesso (bio) para cardápio, contato e pedidos?",2,
Con Amor,Con Amor,28,"Possui canais de vendas digitais ativos e bem gerenciados (iFood, site, WhatsApp)?",2,"Sugeri utilizar o WhatsApp Business na reunião, ficou de tema de casa."
Con Amor,Con Amor,29,"Acompanha e utiliza métricas das redes sociais (alcance, engajamento, conversões) para otimizar?",1,Na reunião mostrei como olhar os insights do Instagram. 
Con Amor,Con Amor,30,Quais perfis ativos a empresa possui? (Listar plataformas),1,"Somente Instagram, ficou de tema de casa fazer o google meu negócio"
Con Amor,Con Amor,31,Quais ferramentas de edição de imagem/vídeo utiliza? (Nomes),0,Hoje não utiliza
Con Amor,Con Amor,32,A empresa já utiliza alguma ferramenta de Inteligência Artificial de forma integrada no dia a dia?,1,
Con Amor,Con Amor,33,"Usa ferramentas como ChatGPT/Gemini para criar ideias, conteúdos ou resolver problemas?",1,
Con Amor,Con Amor,34,"Usa IA para gerar textos (descrições, posts, cardápios) com revisão humana?",1,
Con Amor,Con Amor,35,Utiliza IA para criação ou inspiração de imagens/elementos visuais?,1,
Con Amor,Con Amor,36,Utiliza assistentes virtuais ou chatbots para atendimento ao cliente?,1,
Con Amor,Con Amor,37,Quais ferramentas de IA utiliza no dia a dia? (Nomes),1,
Con Amor,Con Amor,38,Utiliza estratégias ativas e contínuas de prospecção ou vendas?,1,
Con Amor,Con Amor,39,Tem base de clientes organizada (preferencialmente CRM) e utilizada para relacionamento/vendas?,1,Tem em planilha uma estrutura simples com lista de clientes e nos contatos do Whatsapp. 
Con Amor,Con Amor,40,Realiza ações estruturadas de fidelização ou recompra?,1,"Tem uma ação de fidelização como forma de agradecimento, no inicio de ano presenteando quem a contratou ao longo do ano anterior.  "
Con Amor,Con Amor,41,"Tem processos de atendimento e vendas padronizados, conhecidos e seguidos pela equipe?",1,O material padrão utilizado é o seu orçamento. 
Con Amor,Con Amor,42,Trabalha com ações promocionais ou sazonalidades de venda de forma planejada e estratégica?,3,"faz ações sazonais principalmente com datas importantes, Páscoa, Dias mães e Natal, realiza a entrega da refeição das famílias nesses dias importantes. "
Con Amor,Con Amor,43,"Faz parcerias estratégicas com canais locais, marketplaces ou distribuidores?",1,
Con Amor,Con Amor,44,Há definição clara e formalizada de funções e responsabilidades para todos os cargos?,1,"Tem uma pessoa que a auxilia na cozinha e é por demanda, chama quando há necessidade. "
Con Amor,Con Amor,45,Possui treinamentos recorrentes para desenvolver a equipe (técnico/comportamental)?,1,
Con Amor,Con Amor,46,Os colaboradores possuem remuneração variável atrelada a metas/desempenho?,1,
Con Amor,Con Amor,47,Realiza reuniões periódicas eficazes com a equipe para alinhamento e comunicação?,1,
Con Amor,Con Amor,48,Realiza pesquisa de clima organizacional e implementa planos de ação?,0,
Con Amor,Con Amor,49,Possui plano de carreira estruturado e transparente para os colaboradores?,1,
Con Amor,Con Amor,50,"Existe uma cultura organizacional clara (Missão, Visão, Valores), disseminada e vivenciada?",1,
Con Amor,Con Amor,51,Qual o número total de colaboradores?,0,"1 freelance, contratação fixas nas segundas e o restante dos dias sob demanda. "
Con Amor,Con Amor,52,"Possui Manual de Boas Práticas (MBP), POPs exigidos pela VS, atualizados e em uso (com registros)?",1,
Con Amor,Con Amor,53,Tem controle e ações para redução de perdas e desperdícios?,0,"Não tem perda, pois trabalha sob demanda. "
Con Amor,Con Amor,54,"O layout da cozinha/produção permite fluxo adequado (""marcha avante""), evita contaminação cruzada e otimiza processos?",1,
Con Amor,Con Amor,55,"Utiliza sistema para gestão de pedidos, produção (KDS), atendimento e estoque?",1,
Con Amor,Con Amor,56,"Ocorrem compras emergenciais? Se sim, com qual frequência?",3,
Con Amor,Con Amor,57,Possui rotinas definidas e registradas (planilhas) de limpeza e segurança alimentar?,1,
Con Amor,Con Amor,58,Possui plano e registros de manutenção preventiva e corretiva dos equipamentos?,1,
Cor Café y Brasa,Cor Café y Brasa,1,A empresa possui controle de entrada e saída de caixa?,1,"hoje não utiliza nenhum sistema ou planilha, o controle é feito de forma visual, gostou da ideia de controlar pelo DDA não havia pensado."
Cor Café y Brasa,Cor Café y Brasa,2,Qual o nível de utilização de sistema (ERP/planilhas) para gestão?,1,"Não utiliza o sistema para gestão apenas para para controle de pedidos, hoje não há um controle de gestão nem mesmo em planilhas. "
Cor Café y Brasa,Cor Café y Brasa,3,Tem DRE (Demonstrativo de Resultado do Exercício) mensal atualizado e utilizado?,3,"Realiza o DRE através de planilha, relata que faz algum tempo que não monta e não analisa. "
Cor Café y Brasa,Cor Café y Brasa,4,Possui CMV (Custo de Mercadoria Vendida) apurado mensalmente com precisão?,3,"Não tem certeza do seu cmv, acredita que de forma geral está em  entre 31 e 38%. Depende muito dos pratos.  "
Cor Café y Brasa,Cor Café y Brasa,5,Tem fichas técnicas completas e atualizadas dos produtos/pratos?,3,Elaborou planilhas com a consultoria e sempre revisita as fichas tecnicas.  
Cor Café y Brasa,Cor Café y Brasa,6,Tem controle de estoque com inventário periódico?,2,controle de estopque visual conta e planilha 
Cor Café y Brasa,Cor Café y Brasa,7,"Possui e acompanha indicadores financeiros definidos (lucro, margem de contribuição, ticket médio, ponto de equilíbrio)?",2,"Acompanha indicador como tícket médio e resultado financeiro final do mês, principalmente dados financeiros são dados imprecisos, em função de não haver controles. "
Cor Café y Brasa,Cor Café y Brasa,8,"Trabalha com precificação estruturada (considerando custos, concorrência, valor)?",3,"Não há uma estratégia estruturada de precificação, usa as planilhas da consultoria de ficha técnica e esta sempre atento a concorrencia. "
Cor Café y Brasa,Cor Café y Brasa,9,Tem dívidas/empréstimos ativos? Estão controlados e planejados?,2,"Hoje tem um empréstimo de 100mil, realiza o pagamento da parcela de R$4.600 por mes reparcelo os impostos, e acabou não honrando com os pagamentos hoje não esta pagando os impostos, ""vou deixar estourar esse cnpj para ver depois uma estratégia"". "
Cor Café y Brasa,Cor Café y Brasa,10,Qual sistema (ERP/planilhas) utiliza? (Nome específico),0,"Esta estudando a Totvs chef, hoje utiliza o pdv legal quer abrir outro cnpj para já ir para o sistema novo.   "
Cor Café y Brasa,Cor Café y Brasa,11,A empresa conhece com clareza seu público-alvo/persona?,3,"hoje sua persona são ""mães, famílias com criança"" entendi que precisa também de outra persona, pois a atual precisa que todas as conidções estejam favoráveis para ir ao Cor. "
Cor Café y Brasa,Cor Café y Brasa,12,Possui um posicionamento definido (proposta de valor) e diferenciais competitivos claros e comunicados?,3,"Entendi que precisa desenvolver para comunicar melhor e ser lembrado principalmente quando ""pensar em carne/Parrilla e pensar no Cor"""
Cor Café y Brasa,Cor Café y Brasa,13,Conhece e analisa periodicamente seus principais concorrentes?,3,O empreendedor relatou todos os seus concorrentes e frequenta além dos concorrentes também outros locais para se inspiarar além de acompanhar através das redes sociais.  
Cor Café y Brasa,Cor Café y Brasa,14,Participa de eventos ou ações de visibilidade local/setorial relevantes?,3,Passou a participar agora mais próximo do Sebrae se inserindo em 2 programas o polo e mais o de turismo 
Cor Café y Brasa,Cor Café y Brasa,15,"Trabalha o storytelling da marca (história, propósito, origem) na comunicação?",1,"Relatou a historia da compra do restaurante junto com suas irmas, mas não esta descrito e não comunicam. "
Cor Café y Brasa,Cor Café y Brasa,16,"Possui material institucional (cardápio, embalagens) bem apresentado e alinhado à marca?",2,"O cardápio hoje esta sendo melhorado, apresentou como quer fazer, que é um de vinhos que esta muito bonito, mas o atual esta ""bem ruim"" precisa melhorar bastante inclusive foi uma pauta levantda pela Fran.  "
Cor Café y Brasa,Cor Café y Brasa,17,"Avalia o retorno das ações de marketing (comentários, avaliações online/offline)?",3,"Já teve agêncfego pago com investimento consideravel e eles apresentavam as métricas mas deconstinuou o trabalho em janeiro de 2025 , hoje analisa principalmente os resultados dos influencers ""brincando por ai"" traz retornos imediatos, casa cheia após suas publicações. "
Cor Café y Brasa,Cor Café y Brasa,18,A empresa mantém perfis ativos e estratégicos nas redes sociais relevantes?,3,"A frequencia de postagens esta baixa no perfil do instagram, e no google meu negócio precisa incentivar seu cliente a fazer avaliações para melhorar a nota.  "
Cor Café y Brasa,Cor Café y Brasa,19,"Há produção frequente e diversificada de conteúdo de qualidade (stories, reels, fotos, vídeos)?",3,o empreendedor entendi que sua produção precisa ser mais constante.  
Cor Café y Brasa,Cor Café y Brasa,20,Há um responsável (interno/externo) com expertise gerenciando as redes sociais?,1,hoje não há uma pessoa específica realizando os conteúdos. 
Cor Café y Brasa,Cor Café y Brasa,21,Tem um calendário editorial ou planejamento de conteúdo?,2,"não há uma organização planejada, analisando as postagens atuais houve uma em 05/04 e depois só em  18/04. "
Cor Café y Brasa,Cor Café y Brasa,22,Está atento e adapta conteúdos virais/tendências relevantes para a marca?,2,
Cor Café y Brasa,Cor Café y Brasa,23,"Interage com o público (comentários, directs) de forma rápida e personalizada?",1,"precisa melhorar o google principalmente parou de responder as mensagens, quer fazer um trabalho melhor para melhorar a nota. "
Cor Café y Brasa,Cor Café y Brasa,24,Utiliza ferramentas e tem habilidade para edição de imagem e vídeo de qualidade?,3,Muitas vezes faz as edições no proprio instagram. 
Cor Café y Brasa,Cor Café y Brasa,25,Tem estratégia e investimento em impulsionamento/tráfego pago?,4,"já fez, mas  não viu resultado x investimento e parou o tráfego em janeiro de 25 "
Cor Café y Brasa,Cor Café y Brasa,26,Trabalha com influenciadores ou parceiros digitais de forma estratégica?,4,"sim foi a estratégia mais impactante no resultado do restaurante até o momento a parceria com ""brincando por ai"".  "
Cor Café y Brasa,Cor Café y Brasa,27,"Oferece links de fácil acesso (bio) para cardápio, contato e pedidos?",4,"Sim, através do linktree, mas pode melhorar principalmente cardápio e whatsApp. "
Cor Café y Brasa,Cor Café y Brasa,28,"Possui canais de vendas digitais ativos e bem gerenciados (iFood, site, WhatsApp)?",1,Esta presente no ifood e as reservas entram através do instagram link do whatsapp. 
Cor Café y Brasa,Cor Café y Brasa,29,"Acompanha e utiliza métricas das redes sociais (alcance, engajamento, conversões) para otimizar?",3,acompanha os Insights
Cor Café y Brasa,Cor Café y Brasa,30,Quais perfis ativos a empresa possui? (Listar plataformas),0,Google e instagram 
Cor Café y Brasa,Cor Café y Brasa,31,Quais ferramentas de edição de imagem/vídeo utiliza? (Nomes),0,Utiliza capcut e reels 
Cor Café y Brasa,Cor Café y Brasa,32,A empresa já utiliza alguma ferramenta de Inteligência Artificial de forma integrada no dia a dia?,1,
Cor Café y Brasa,Cor Café y Brasa,33,"Usa ferramentas como ChatGPT/Gemini para criar ideias, conteúdos ou resolver problemas?",1,"Não utiliza nenhuma ferramneta, fiz baixar o aplicativo na hora.  "
Cor Café y Brasa,Cor Café y Brasa,34,"Usa IA para gerar textos (descrições, posts, cardápios) com revisão humana?",1,
Cor Café y Brasa,Cor Café y Brasa,35,Utiliza IA para criação ou inspiração de imagens/elementos visuais?,1,
Cor Café y Brasa,Cor Café y Brasa,36,Utiliza assistentes virtuais ou chatbots para atendimento ao cliente?,1,
Cor Café y Brasa,Cor Café y Brasa,37,Quais ferramentas de IA utiliza no dia a dia? (Nomes),1,
Cor Café y Brasa,Cor Café y Brasa,38,Utiliza estratégias ativas e contínuas de prospecção ou vendas?,1,"Não existe uma estratégia ativa, hoje sua principais ações comerciais é através do instagram com parcerias de influencers. "
Cor Café y Brasa,Cor Café y Brasa,39,Tem base de clientes organizada (preferencialmente CRM) e utilizada para relacionamento/vendas?,1,"não tem, quer fazer já no novo sistema "
Cor Café y Brasa,Cor Café y Brasa,40,Realiza ações estruturadas de fidelização ou recompra?,1,"não tem, quer fazer já no novo sistema "
Cor Café y Brasa,Cor Café y Brasa,41,"Tem processos de atendimento e vendas padronizados, conhecidos e seguidos pela equipe?",1,"Não, inclusive acredita que seja o problema em função de dobrar o time com freelancers nos finais de semana. "
Cor Café y Brasa,Cor Café y Brasa,42,Trabalha com ações promocionais ou sazonalidades de venda de forma planejada e estratégica?,3,"Exemplo feriadão de páscoa planejou uma estratégia para cada dia, com descontos principalmente nas bedidas. "
Cor Café y Brasa,Cor Café y Brasa,43,"Faz parcerias estratégicas com canais locais, marketplaces ou distribuidores?",1,
Cor Café y Brasa,Cor Café y Brasa,44,Há definição clara e formalizada de funções e responsabilidades para todos os cargos?,3,"Tem as funções principais definidas, mas não é um documento que utiliza com frequencia. Mais de 50% do seu time é freelance. "
Cor Café y Brasa,Cor Café y Brasa,45,Possui treinamentos recorrentes para desenvolver a equipe (técnico/comportamental)?,3,Os treinamentos estão mais voltados a produto.  
Cor Café y Brasa,Cor Café y Brasa,46,Os colaboradores possuem remuneração variável atrelada a metas/desempenho?,4,"Existe a caixinha que é distribuida igualmente ao time, em função disso o time esta atento as metas principalmente nos finais de semana, no mês anterior receberam 15 mil para realizar a divisão, o empreendedor entendi que isso é um diferencial para manter o time. "
Cor Café y Brasa,Cor Café y Brasa,47,Realiza reuniões periódicas eficazes com a equipe para alinhamento e comunicação?,3,Realiza algumas reuniões mas não com pautas definidas e nem com frequencia definida. 
Cor Café y Brasa,Cor Café y Brasa,48,Realiza pesquisa de clima organizacional e implementa planos de ação?,1,
Cor Café y Brasa,Cor Café y Brasa,49,Possui plano de carreira estruturado e transparente para os colaboradores?,1,
Cor Café y Brasa,Cor Café y Brasa,50,"Existe uma cultura organizacional clara (Missão, Visão, Valores), disseminada e vivenciada?",1,
Cor Café y Brasa,Cor Café y Brasa,51,Qual o número total de colaboradores?,0,"6 fixos e 15 ao todo nos finais de semana, nenhum como clt.  "
Cor Café y Brasa,Cor Café y Brasa,52,"Possui Manual de Boas Práticas (MBP), POPs exigidos pela VS, atualizados e em uso (com registros)?",2,"Empreendedor entendi que precisa revisitar esses doucmentos, pois estão desatualizados. "
Cor Café y Brasa,Cor Café y Brasa,53,Tem controle e ações para redução de perdas e desperdícios?,0,"Hoje nãoi tem controle, não mede a perda, e acontece principalmente na carne, se passa do ponto e etc.  "
Cor Café y Brasa,Cor Café y Brasa,54,"O layout da cozinha/produção permite fluxo adequado (""marcha avante""), evita contaminação cruzada e otimiza processos?",2,"Já fez consultoria de processos na cozinha, mas entendi que hoje não seguem tanto ""a risca"", a ""consultoria orientou a minha cozinha, mas acho que não seguem"". "
Cor Café y Brasa,Cor Café y Brasa,55,"Utiliza sistema para gestão de pedidos, produção (KDS), atendimento e estoque?",3,hoje o pedido imprimi no bar e na cozinha.  
Cor Café y Brasa,Cor Café y Brasa,56,"Ocorrem compras emergenciais? Se sim, com qual frequência?",4,"pouca frequencia hoje as compras são realizadas pelo ""braço direito e pelo proprietário."
Cor Café y Brasa,Cor Café y Brasa,57,Possui rotinas definidas e registradas (planilhas) de limpeza e segurança alimentar?,3,"Tem uma rotina pré definida mas, não tem registro da planilha "
Cor Café y Brasa,Cor Café y Brasa,58,Possui plano e registros de manutenção preventiva e corretiva dos equipamentos?,2,"não tem registrado, hoje o  controle é pessoal de cabeça.  "
Devolutiva choperia essencial,choperia essencial,1,A empresa possui controle de entrada e saída de caixa?,4,"Sabe tudo o que compra, tudo o que precisa ter no caixa para segurança. Sabe o que vende em cartão, em dinheiro e etc. Um bom fluxo de caixa"
Devolutiva choperia essencial,choperia essencial,2,Qual o nível de utilização de sistema (ERP/planilhas) para gestão?,3,Apenas controle de vendas e controle fiscal
Devolutiva choperia essencial,choperia essencial,3,Tem DRE (Demonstrativo de Resultado do Exercício) mensal atualizado e utilizado?,1,Não faz o DRE - não sabe
Devolutiva choperia essencial,choperia essencial,4,Possui CMV (Custo de Mercadoria Vendida) apurado mensalmente com precisão?,2,"Sabe de cabeça, informalmente. Tem quase certeza que de tudo"
Devolutiva choperia essencial,choperia essencial,5,Tem fichas técnicas completas e atualizadas dos produtos/pratos?,1,Tinha. Não tem mais. Precisa estabelecer uma boa equipe na cozinha para retomar com as fichas técnicas e demais trabalhos.
Devolutiva choperia essencial,choperia essencial,6,Tem controle de estoque com inventário periódico?,2,"Ja teve. Não tem mais. Tudo no olhometro, papel e caneta"
Devolutiva choperia essencial,choperia essencial,7,"Possui e acompanha indicadores financeiros definidos (lucro, margem de contribuição, ticket médio, ponto de equilíbrio)?",3,apenas ticket médio: 40 a 50 reais aproximadamente. Não sabe número médio de clientes dia (deve ter no sistema)
Devolutiva choperia essencial,choperia essencial,8,"Trabalha com precificação estruturada (considerando custos, concorrência, valor)?",2,"CMV (da cabeça), apresentação dos pratos, e qualidade. 1 vez por ano analisa os concorrentes, dá uma volta pelo certo. Mas no geral não iguala os preços, sabe o valor que seu produto tem"
Devolutiva choperia essencial,choperia essencial,9,Tem dívidas/empréstimos ativos? Estão controlados e planejados?,2,2 pronamp do covid - e 2 pronamp da enchente. Pagamentos controlados
Devolutiva choperia essencial,choperia essencial,10,Qual sistema (ERP/planilhas) utiliza? (Nome específico),0,Cervantes - implementou em janeiro
Devolutiva choperia essencial,choperia essencial,11,A empresa conhece com clareza seu público-alvo/persona?,4,"sabe o publico alvo - b e c - entre 30 e 50 anos. Não sabe muito o futuro, pois o centro está ficando mais residencial e menos comercial. Vai precisar mudar suas estratégias"
Devolutiva choperia essencial,choperia essencial,12,Possui um posicionamento definido (proposta de valor) e diferenciais competitivos claros e comunicados?,2,"Sabe sua proposta, mas não comunica"
Devolutiva choperia essencial,choperia essencial,13,Conhece e analisa periodicamente seus principais concorrentes?,2,"Sim, 1 vez ao ano anda pelo centro e analisa valores, pratos e etc. Mas não leva muito em consideração na sua precificação"
Devolutiva choperia essencial,choperia essencial,14,Participa de eventos ou ações de visibilidade local/setorial relevantes?,2,"Antes da pandemia fazia mutios eventos, participava em parceria de outros. Mas após a pandemia, parou. Gostaria muito de voltar a fazer"
Devolutiva choperia essencial,choperia essencial,15,"Trabalha o storytelling da marca (história, propósito, origem) na comunicação?",2,"participou de alguns podcast pra falar sobre - santo cervejeiro, muito tempo atrás. Atualmente não tem divulgado seu restaurante. Mkt parado"
Devolutiva choperia essencial,choperia essencial,16,"Possui material institucional (cardápio, embalagens) bem apresentado e alinhado à marca?",2,"Não. Quer melhorar, mas precisa fixar equipe na cozinha para conseguir trazer mais clientes"
Devolutiva choperia essencial,choperia essencial,17,"Avalia o retorno das ações de marketing (comentários, avaliações online/offline)?",2,"atualmente não avalia, pois não tem feito muito. Mas antigamente sempre avaliava"
Devolutiva choperia essencial,choperia essencial,18,A empresa mantém perfis ativos e estratégicos nas redes sociais relevantes?,2,Tudo parado
Devolutiva choperia essencial,choperia essencial,19,"Há produção frequente e diversificada de conteúdo de qualidade (stories, reels, fotos, vídeos)?",1,"Não, tudo parado"
Devolutiva choperia essencial,choperia essencial,20,Há um responsável (interno/externo) com expertise gerenciando as redes sociais?,2,"Sim, sua esposa é ""responsável"" pelas redes sociais. Mas atualmente está parado"
Devolutiva choperia essencial,choperia essencial,21,Tem um calendário editorial ou planejamento de conteúdo?,1,Não
Devolutiva choperia essencial,choperia essencial,22,Está atento e adapta conteúdos virais/tendências relevantes para a marca?,1,Não
Devolutiva choperia essencial,choperia essencial,23,"Interage com o público (comentários, directs) de forma rápida e personalizada?",4,"No google sempre responde as avaliações. Sempre dá retorno no whatsap da empresa. Redes sociais paradas, sem interação"
Devolutiva choperia essencial,choperia essencial,24,Utiliza ferramentas e tem habilidade para edição de imagem e vídeo de qualidade?,1,"Nada. Possuem o canva pago, que a esposa utilizava quando fazia o mkt"
Devolutiva choperia essencial,choperia essencial,25,Tem estratégia e investimento em impulsionamento/tráfego pago?,2,"Muito tempo atrás fazia. Atualmente não faz mais, não tem mais tempo"
Devolutiva choperia essencial,choperia essencial,26,Trabalha com influenciadores ou parceiros digitais de forma estratégica?,1,"Nunca chegou a trabalhar, mas tem vontade"
Devolutiva choperia essencial,choperia essencial,27,"Oferece links de fácil acesso (bio) para cardápio, contato e pedidos?",2,"Apenas whatsapp. Como não possuem delivery, o contato é apenas para saber horário e cardápio"
Devolutiva choperia essencial,choperia essencial,28,"Possui canais de vendas digitais ativos e bem gerenciados (iFood, site, WhatsApp)?",0,"Apenas whatsapp, mas não possuem delivery"
Devolutiva choperia essencial,choperia essencial,29,"Acompanha e utiliza métricas das redes sociais (alcance, engajamento, conversões) para otimizar?",3,"Atualmente não tem olhado, pois esta parado. Mas sempre acompanhou"
Devolutiva choperia essencial,choperia essencial,30,Quais perfis ativos a empresa possui? (Listar plataformas),0,https://www.instagram.com/choperiaessencial/
Devolutiva choperia essencial,choperia essencial,31,Quais ferramentas de edição de imagem/vídeo utiliza? (Nomes),0,canva - paga pra esposa que cuida do marketing
Devolutiva choperia essencial,choperia essencial,32,A empresa já utiliza alguma ferramenta de Inteligência Artificial de forma integrada no dia a dia?,1,"Não utiliza, acha um perigo. mas sabe que se for usado para o bem, possui um bom potencial"
Devolutiva choperia essencial,choperia essencial,33,"Usa ferramentas como ChatGPT/Gemini para criar ideias, conteúdos ou resolver problemas?",1,
Devolutiva choperia essencial,choperia essencial,34,"Usa IA para gerar textos (descrições, posts, cardápios) com revisão humana?",1,
Devolutiva choperia essencial,choperia essencial,35,Utiliza IA para criação ou inspiração de imagens/elementos visuais?,1,
Devolutiva choperia essencial,choperia essencial,36,Utiliza assistentes virtuais ou chatbots para atendimento ao cliente?,1,
Devolutiva choperia essencial,choperia essencial,37,Quais ferramentas de IA utiliza no dia a dia? (Nomes),1,
Devolutiva choperia essencial,choperia essencial,38,Utiliza estratégias ativas e contínuas de prospecção ou vendas?,2,"Atualmente está preocupado em manter os antigos. Depois que organizara cozinha, vai ri atrás de novo"
Devolutiva choperia essencial,choperia essencial,39,Tem base de clientes organizada (preferencialmente CRM) e utilizada para relacionamento/vendas?,2,"Possui o contato de muitos clientes no celular, mas não atuliza atualmente"
Devolutiva choperia essencial,choperia essencial,40,Realiza ações estruturadas de fidelização ou recompra?,1,Não
Devolutiva choperia essencial,choperia essencial,41,"Tem processos de atendimento e vendas padronizados, conhecidos e seguidos pela equipe?",3,"Passa orientações na contratação. Tem processos de venda específico, nada formalizado, mas tem. Está sempre conversando com os funcionários, principalmente os de entendimento. Possui um contato próximo com todos"
Devolutiva choperia essencial,choperia essencial,42,Trabalha com ações promocionais ou sazonalidades de venda de forma planejada e estratégica?,1,"Sim, ja fez muitas promoções. Depois da enchente parou e ainda não retomou"
Devolutiva choperia essencial,choperia essencial,43,"Faz parcerias estratégicas com canais locais, marketplaces ou distribuidores?",3,"Parceiria com cooperativas de banco, cervejarias, empresas de bebidas e etc."
Devolutiva choperia essencial,choperia essencial,44,Há definição clara e formalizada de funções e responsabilidades para todos os cargos?,2,"Informal, mas todos sabem o seu lugar e o que fazer. Funciona bem"
Devolutiva choperia essencial,choperia essencial,45,Possui treinamentos recorrentes para desenvolver a equipe (técnico/comportamental)?,1,Não tem visto necessidade. Apenas na cozinha que tem sido o problema. Está tentando firmar os funcionários para depois trabalhar com eles essa parte
Devolutiva choperia essencial,choperia essencial,46,Os colaboradores possuem remuneração variável atrelada a metas/desempenho?,3,"Posuem variável, não soube explicar como é. Quer mudar"
Devolutiva choperia essencial,choperia essencial,47,Realiza reuniões periódicas eficazes com a equipe para alinhamento e comunicação?,3,Reuniões individuais diárias. Sempre conversando com os funcionadios
Devolutiva choperia essencial,choperia essencial,48,Realiza pesquisa de clima organizacional e implementa planos de ação?,2,"Conversa diretamente com cada um, não realiza pesquisa de clima"
Devolutiva choperia essencial,choperia essencial,49,Possui plano de carreira estruturado e transparente para os colaboradores?,2,"Alguns funcionários tem crescimento na empresa, mas nada estruturado de plano de carreira. Apenas merecimento e tempo mesmo"
Devolutiva choperia essencial,choperia essencial,50,"Existe uma cultura organizacional clara (Missão, Visão, Valores), disseminada e vivenciada?",1,não
Devolutiva choperia essencial,choperia essencial,51,Qual o número total de colaboradores?,0,"6 (3 cozinha + 3 salão).  Funcionários da cozinha são todos informais por enquanto, não assinou carteira de nenhum ainda. Esperando firmar"
Devolutiva choperia essencial,choperia essencial,52,"Possui Manual de Boas Práticas (MBP), POPs exigidos pela VS, atualizados e em uso (com registros)?",1,Não tem mais. Ja teve
Devolutiva choperia essencial,choperia essencial,53,Tem controle e ações para redução de perdas e desperdícios?,3,"Antes tinha muito desperdicio, atualmente não tem mais. Melhorou na base da conversa e supervisão"
Devolutiva choperia essencial,choperia essencial,54,"O layout da cozinha/produção permite fluxo adequado (""marcha avante""), evita contaminação cruzada e otimiza processos?",4,"Apesar de pequena, funciona bem. Tem muita experiência nesse sentido."
Devolutiva choperia essencial,choperia essencial,55,"Utiliza sistema para gestão de pedidos, produção (KDS), atendimento e estoque?",5,"Sim, possui sistema de pedidos, funciona muito bem"
Devolutiva choperia essencial,choperia essencial,56,"Ocorrem compras emergenciais? Se sim, com qual frequência?",1,"Diárias, compra mta coisa no mercado, por ser fresco. Não ve como um problema essas compras emergenciais. Prefere comprar fresco no mercado publico mesmo"
Devolutiva choperia essencial,choperia essencial,57,Possui rotinas definidas e registradas (planilhas) de limpeza e segurança alimentar?,1,"Fazia, não faz mais. Vigilancia sanitária ordenou várias alterações. Estão ajustando"
Devolutiva choperia essencial,choperia essencial,58,Possui plano e registros de manutenção preventiva e corretiva dos equipamentos?,3,"SIm, sempre cuida dos equipamentos. Mas tudo informal, sem um cronograma específico."
Devolutiva pizza napoletana,pizza napoletana,1,A empresa possui controle de entrada e saída de caixa?,3,"Possuem todos os controles em planilhas, feita pela sócia. Utilizam apenas sistema pdv"
Devolutiva pizza napoletana,pizza napoletana,2,Qual o nível de utilização de sistema (ERP/planilhas) para gestão?,3,"Não possuem sistema, apenas pdv"
Devolutiva pizza napoletana,pizza napoletana,3,Tem DRE (Demonstrativo de Resultado do Exercício) mensal atualizado e utilizado?,4,"Sim, possuem, fizeram curso. Acompanham todos os meses, mas sentem dificuldade em interpretar os números. DRE EM OUTRA PLANILHA NA PASTA"
Devolutiva pizza napoletana,pizza napoletana,4,Possui CMV (Custo de Mercadoria Vendida) apurado mensalmente com precisão?,5,
